PN;Assignee Name;Micron;IBM;Samsung;Toshiba;mean_cumulative_incl_unigram_red_linkage;mean_cumulative_incl_unigram_compl_linkage;mean_cumulative_incl_bigram_red_linkage;mean_cumulative_incl_bigram_compl_linkage;mean_preclusive_incl_unigram_red_linkage;mean_preclusive_incl_unigram_compl_linkage;mean_preclusive_incl_bigram_red_linkage;mean_preclusive_incl_bigram_compl_linkage;filing_year;grant_year
6010930;Micron Technology;1;0;0;0;0,444852941;0,456632653;0,091346154;0,110681114;5,395276649;3,50583958;132;307,3587303;1997;2000
6010932;Micron Technology;1;0;0;0;0;0;0;0;1,952380952;1,795620438;50;37,00000004;1996;2000
6010935;Micron Technology;1;0;0;0;0,375;0,522858796;0,068396227;0,066287879;3,551477425;2,189210149;77,07212865;182,3607038;1997;2000
6010941;Micron Technology;1;0;0;0;0;0;0;0;6,388888876;4,061109421;504;1424;1998;2000
6010949;Micron Technology;1;0;0;0;0;0;0;0;10,95050506;29,67918501;316,7999999;868,7999999;1996;2000
6010953;Micron Technology;1;0;0;0;0,185714286;0,300239808;0,014678899;0,022289157;4,775641021;3,097025591;157,7916664;396,9071426;1997;2000
6010961;Micron Technology;1;0;0;0;0;0;0;0;13,44820076;19,85612106;225,7499997;618,1527678;1998;2000
6010964;Micron Technology;1;0;0;0;0,196886447;0,312439143;0,017011834;0,017558528;12,45064933;12,766737;422,357143;1178,886905;1997;2000
6010967;Micron Technology;1;0;0;0;0,380813953;0,597739362;0,087301588;0,083533654;7,828205115;4,046770323;233,0999997;638,9333351;1998;2000
6010969;Micron Technology;1;0;0;0;0,212032086;0,262524001;0,030728709;0,034719517;27,6170324;86,41530125;273,5578706;737,9666862;1996;2000
6011307;Micron Technology;1;0;0;0;0,214574899;0,240461293;0,028571429;0,034465534;8,256009421;10,60291155;341,0555558;921,1245794;1997;2000
6012469;Micron Technology;1;0;0;0;0,210806697;0,412610828;0,027522936;0,038281979;8,638012123;5,312224077;148,033333;378,1696781;1997;2000
6013535;Micron Technology;1;0;0;0;0,081818182;0,11260274;0,0025;0,003333333;14,47023807;15,91161726;451;1251,625;1997;2000
6013543;Micron Technology;1;0;0;0;0;0;0;0;3,714285717;2,060606059;504;1424;1997;2000
6013566;Micron Technology;1;0;0;0;0,190298508;0,285897436;0,004385965;0,007188498;6,383452045;4,121755378;268,3333324;664,7685178;1996;2000
6013943;Micron Technology;1;0;0;0;0,907407408;0,969879518;0,326086956;0,390909091;5,303571434;3,068102479;154,7500004;379,8333336;1997;2000
6015729;Micron Technology;1;0;0;0;0;0;0;0;2,860353534;2,048235523;26,24999987;18,73492058;1997;2000
6015760;Micron Technology;1;0;0;0;0,365853659;0,537137681;0,053571429;0,078125;5,916798935;2,308995995;349,9999999;958;1997;2000
6017772;Micron Technology;1;0;0;0;0,466312057;0,680348259;0,090476191;0,129259259;5,874999999;5,360000005;504;1424;1999;2000
6017776;Micron Technology;1;0;0;0;0,293995859;0,494234404;0,067530065;0,06577961;6,676666673;2,758893937;172,7416666;456,7560859;1997;2000
6017782;Micron Technology;1;0;0;0;0,78125;0,958333333;0,18;0,203947368;3,180792541;2,524436353;15;18,27728722;1998;2000
6017789;Micron Technology;1;0;0;0;0,265934066;0,403698225;0,035778175;0,042780749;7,887129178;8,605059978;390,8921569;1093,803203;1997;2000
6017827;Micron Technology;1;0;0;0;0,169398907;0,332465278;0,012681159;0,011111111;7,402446349;4,305995097;193,0564108;473,9033534;1998;2000
6017829;Micron Technology;1;0;0;0;0,086419753;0,254023793;0;0;302;1153;504;1424;1997;2000
6019037;Micron Technology;1;0;0;0;0,1;0,245430809;0;0;7,71428571;3,309980874;283,0000005;822,499997;1998;2000
6022750;Micron Technology;1;0;0;0;0,344186046;0,537089202;0,032142857;0,042666667;5,325644216;2,743910167;223,1999998;621,1943916;1997;2000
6022783;Micron Technology;1;0;0;0;0;0;0;0;5,660778753;5,794808597;81,77777774;208,0744151;1997;2000
6022787;Micron Technology;1;0;0;0;0,251461988;0,466199209;0,016559829;0,023493643;5,384621659;3,160428091;243,6231887;635,4958123;1997;2000
